Date, Open, High, Low, Close, Volume
06/20/16, 698.77, 702.48, 693.41, 693.71, 2082538
06/17/16, 708.65, 708.82, 688.4515, 691.72, 3402357
06/16/16, 714.91, 716.65, 703.26, 710.36, 1982471
06/15/16, 719.00, 722.98, 717.31, 718.92, 1214517
06/14/16, 716.48, 722.47, 713.12, 718.27, 1306065
06/13/16, 716.51, 725.44, 716.51, 718.36, 1258930
06/10/16, 719.47, 725.89, 716.43, 719.41, 1216443
06/09/16, 722.87, 729.54, 722.3361, 728.58, 988914
06/08/16, 723.96, 728.57, 720.58, 728.28, 1583701
06/07/16, 719.84, 721.98, 716.55, 716.65, 1336754
06/06/16, 724.91, 724.91, 714.61, 716.55, 1566059
06/03/16, 729.27, 729.49, 720.56, 722.34, 1226253
06/02/16, 732.50, 733.02, 724.17, 730.40, 1341807
06/01/16, 734.53, 737.21, 730.66, 734.15, 1253593
05/31/16, 731.74, 739.73, 731.26, 735.72, 2129545
05/27/16, 724.01, 733.936, 724.00, 732.66, 1974962
05/26/16, 722.87, 728.33, 720.28, 724.12, 1576286
05/25/16, 720.76, 727.51, 719.7047, 725.27, 1632564
05/24/16, 706.86, 720.97, 706.86, 720.09, 1929467
05/23/16, 706.53, 711.4781, 704.18, 704.24, 1330692
05/20/16, 701.62, 714.58, 700.52, 709.74, 1828387
05/19/16, 702.36, 706.00, 696.80, 700.32, 1670234
05/18/16, 703.67, 711.60, 700.63, 706.63, 1766836
05/17/16, 715.99, 721.52, 704.11, 706.23, 2001225
05/16/16, 709.13, 718.48, 705.65, 716.49, 1317069
05/13/16, 711.93, 716.6619, 709.26, 710.83, 1314499
05/12/16, 717.06, 719.25, 709.00, 713.31, 1361332
05/11/16, 723.41, 724.48, 712.80, 715.29, 1692063
05/10/16, 716.75, 723.50, 715.72, 723.18, 1569591
05/09/16, 712.00, 718.71, 710.00, 712.90, 1510289
05/06/16, 698.38, 711.86, 698.1068, 711.12, 1829291
05/05/16, 697.70, 702.3199, 695.72, 701.43, 1683507
05/04/16, 690.49, 699.75, 689.01, 695.70, 1693525
05/03/16, 696.87, 697.84, 692.00, 692.36, 1543785
05/02/16, 697.63, 700.64, 691.00, 698.21, 1645265
04/29/16, 690.70, 697.62, 689.00, 693.01, 2487673
04/28/16, 708.26, 714.17, 689.55, 691.02, 2867255
04/27/16, 707.29, 708.98, 692.3651, 705.84, 3098587
04/26/16, 725.42, 725.766, 703.0264, 708.14, 2744587
04/25/16, 716.10, 723.93, 715.59, 723.15, 1959179
04/22/16, 726.30, 736.12, 713.61, 718.77, 5951938
04/21/16, 755.38, 760.45, 749.55, 759.14, 3060490
04/20/16, 758.00, 758.1315, 750.01, 752.67, 1529217
04/19/16, 769.51, 769.90, 749.33, 753.93, 2030526
04/18/16, 760.46, 768.05, 757.30, 766.61, 1558848
04/15/16, 753.98, 761.00, 752.6938, 759.00, 1809332
04/14/16, 754.01, 757.31, 752.705, 753.20, 1135271
04/13/16, 749.16, 754.38, 744.261, 751.72, 1707641
04/12/16, 738.00, 743.83, 731.01, 743.09, 1352992
04/11/16, 743.02, 745.00, 736.05, 736.10, 1220088
04/08/16, 743.97, 745.45, 735.55, 739.15, 1290787
04/07/16, 745.37, 746.9999, 736.28, 740.28, 1453185
04/06/16, 735.77, 746.24, 735.56, 745.69, 1053713
04/05/16, 738.00, 742.80, 735.37, 737.80, 1132294
04/04/16, 750.06, 752.80, 742.43, 745.29, 1134390
04/01/16, 738.60, 750.34, 737.00, 749.91, 1576745
03/31/16, 749.25, 750.85, 740.94, 744.95, 1718798
03/30/16, 750.10, 757.88, 748.74, 750.53, 1782427
03/29/16, 734.59, 747.25, 728.76, 744.77, 1903758
03/28/16, 736.79, 738.99, 732.50, 733.53, 1301327
03/24/16, 732.01, 737.747, 731.00, 735.30, 1594891
03/23/16, 742.36, 745.7199, 736.15, 738.06, 1432099
03/22/16, 737.46, 745.00, 737.46, 740.75, 1269749
03/21/16, 736.50, 742.50, 733.5157, 742.09, 1836503
03/18/16, 741.86, 742.00, 731.83, 737.60, 2980709
03/17/16, 736.45, 743.07, 736.00, 737.78, 1860834
03/16/16, 726.37, 737.47, 724.51, 736.09, 1624370
03/15/16, 726.92, 732.29, 724.77, 728.33, 1720965
03/14/16, 726.81, 735.50, 725.15, 730.49, 1718252
03/11/16, 720.00, 726.92, 717.125, 726.82, 1970815
03/10/16, 708.12, 716.44, 703.36, 712.82, 2833525
03/09/16, 698.47, 705.68, 694.00, 705.24, 1421515
03/08/16, 688.59, 703.79, 685.34, 693.97, 2076331
03/07/16, 706.90, 708.0912, 686.90, 695.16, 2988026
03/04/16, 714.99, 716.49, 706.02, 710.89, 1972077
03/03/16, 718.68, 719.45, 706.02, 712.42, 1957974
03/02/16, 719.00, 720.00, 712.00, 718.85, 1629003
03/01/16, 703.62, 718.81, 699.77, 718.81, 2151419
02/29/16, 700.32, 710.89, 697.68, 697.77, 2481145
02/26/16, 708.58, 713.43, 700.86, 705.07, 2243522
02/25/16, 700.01, 705.98, 690.585, 705.75, 1642166
02/24/16, 688.92, 700.00, 680.78, 699.56, 1963573
02/23/16, 701.45, 708.40, 693.58, 695.85, 2009280
02/22/16, 707.45, 713.24, 702.51, 706.46, 1949816
02/19/16, 695.03, 703.0805, 694.05, 700.91, 1589281
02/18/16, 710.00, 712.35, 696.03, 697.35, 1883248
